================ Training Loss (Mon Apr 25 21:57:22 2022) ================
(epoch: 172, iters: 80, time: 0.100, data: 0.486) G_GAN: 0.256 D_real: 0.207 D_fake: 0.302 G: 1.324 NCE: 1.124 NCE_Y: 1.011 
(epoch: 174, iters: 40, time: 0.100, data: 0.003) G_GAN: 0.516 D_real: 0.119 D_fake: 0.323 G: 1.681 NCE: 1.174 NCE_Y: 1.156 
(epoch: 175, iters: 120, time: 0.100, data: 0.004) G_GAN: 0.391 D_real: 0.167 D_fake: 0.334 G: 1.431 NCE: 1.091 NCE_Y: 0.989 
(epoch: 177, iters: 80, time: 0.100, data: 0.471) G_GAN: 0.269 D_real: 0.315 D_fake: 0.207 G: 1.328 NCE: 1.047 NCE_Y: 1.071 
(epoch: 179, iters: 40, time: 0.100, data: 0.002) G_GAN: 0.356 D_real: 0.248 D_fake: 0.202 G: 1.489 NCE: 1.137 NCE_Y: 1.130 
(epoch: 180, iters: 120, time: 0.100, data: 0.003) G_GAN: 0.239 D_real: 0.403 D_fake: 0.143 G: 1.305 NCE: 1.171 NCE_Y: 0.960 
(epoch: 182, iters: 80, time: 0.100, data: 0.451) G_GAN: 0.269 D_real: 0.386 D_fake: 0.197 G: 1.389 NCE: 1.162 NCE_Y: 1.078 
(epoch: 184, iters: 40, time: 0.100, data: 0.002) G_GAN: 0.265 D_real: 0.249 D_fake: 0.217 G: 1.298 NCE: 1.126 NCE_Y: 0.940 
(epoch: 185, iters: 120, time: 0.100, data: 0.001) G_GAN: 0.447 D_real: 0.158 D_fake: 0.241 G: 1.543 NCE: 1.089 NCE_Y: 1.104 
(epoch: 187, iters: 80, time: 0.100, data: 0.438) G_GAN: 0.399 D_real: 0.162 D_fake: 0.235 G: 1.341 NCE: 1.000 NCE_Y: 0.884 
(epoch: 189, iters: 40, time: 0.100, data: 0.003) G_GAN: 0.274 D_real: 0.295 D_fake: 0.145 G: 1.351 NCE: 1.127 NCE_Y: 1.026 
(epoch: 190, iters: 120, time: 0.100, data: 0.002) G_GAN: 0.459 D_real: 0.275 D_fake: 0.228 G: 1.460 NCE: 1.040 NCE_Y: 0.962 
(epoch: 192, iters: 80, time: 0.100, data: 0.441) G_GAN: 0.346 D_real: 0.201 D_fake: 0.277 G: 1.351 NCE: 1.079 NCE_Y: 0.932 
(epoch: 194, iters: 40, time: 0.100, data: 0.002) G_GAN: 0.416 D_real: 0.178 D_fake: 0.175 G: 1.474 NCE: 1.138 NCE_Y: 0.978 
(epoch: 195, iters: 120, time: 0.100, data: 0.004) G_GAN: 0.457 D_real: 0.115 D_fake: 0.292 G: 1.509 NCE: 1.087 NCE_Y: 1.016 
(epoch: 197, iters: 80, time: 0.100, data: 0.456) G_GAN: 0.353 D_real: 0.196 D_fake: 0.270 G: 1.434 NCE: 1.174 NCE_Y: 0.988 
(epoch: 199, iters: 40, time: 0.100, data: 0.002) G_GAN: 0.279 D_real: 0.294 D_fake: 0.251 G: 1.304 NCE: 1.025 NCE_Y: 1.025 
(epoch: 200, iters: 120, time: 0.100, data: 0.001) G_GAN: 0.316 D_real: 0.241 D_fake: 0.204 G: 1.329 NCE: 1.059 NCE_Y: 0.967 
(epoch: 202, iters: 80, time: 0.100, data: 0.450) G_GAN: 0.410 D_real: 0.194 D_fake: 0.144 G: 2.188 NCE: 1.982 NCE_Y: 1.575 
(epoch: 204, iters: 40, time: 0.100, data: 0.002) G_GAN: 0.324 D_real: 0.187 D_fake: 0.251 G: 3.661 NCE: 3.336 NCE_Y: 3.339 
(epoch: 205, iters: 120, time: 0.100, data: 0.003) G_GAN: 0.276 D_real: 0.245 D_fake: 0.251 G: 2.704 NCE: 2.425 NCE_Y: 2.430 
